Publicity name,Primary discipline,Secondary discipline,Primary institution type,Secondary institution type,Web site,Phone number,EMAIL,email_2nd,ad1,ad2,cit,STA,zip,Primary contact person,Mission statement collected for Operating Support applicants only and updated with each year if organization reapplies,APP,FY,LNAM sort,Legal name
Historic Paramount Theatre,Music,Theater,Cultural Series Organization,Arts Center,https://www.austinareaarts.org/,(507) 434-0934 ,director@austinareaarts.org,info@austinareaarts.org,300 Main St N,,Austin,MN,55912,"Laura Helle, Executive Director","The Austin Area Commission for the Arts envisions a vibrant and successful community enriched by diverse arts, entertainment, and cultural activities. We strive to identify, engage, and support the development and advancement of diverse arts, entertainment, and cultural activities that benefit people in Austin and the surrounding area. ",73308,2019,Austin Area Commission for the Arts,Austin Area Commission for the Arts
Ballet Minnesota,"Dance, ballet",,Performing Group,,https://balletminnesota.org/,(651) 222-7919 ,llparker100@gmail.com,,314 Chester St,,St Paul,MN,55107,"Laurie Parker, Board VP, Development",Ballet Minnesota is dedicated to enriching lives by creating and sharing the artistry of dance through public presentations and education.,73292,2019,Ballet Minnesota,Ballet Minnesota
James Sewell Ballet,"Dance, ballet",,Performing Group,,https://www.jsballet.org/,(612) 672-0480 ,tom@jsballet.org,,528 Hennepin Ave,Ste 205,Minneapolis,MN,55403-1810,"Tom McNamee, Development Director",The mission of James Sewell Ballet is to create and perform works that connect artists with audiences and to advance contemporary ballet.,73107,2019,"Ballet Works, Inc.","Ballet Works, Inc."
Artistry,Multidisciplinary,,Arts Center,,https://artistrymn.org/,(952) 563-8569 ,aspecht@artistrymn.org,,1800 Old Shakopee Rd W,,Bloomington,MN,55431-3071,"Andrea Specht, Executive Director","In pursuit of artistic excellence, we engage our region's most talented artists in work that welcomes and develops audiences and opens hearts and minds. ",73404,2019,Bloomington Theatre and Art Center,Bloomington Theatre and Art Center
Cantus,"Music, choral","Music, chamber",Performing Group,,https://www.cantussings.org/,(612) 435-0046 ,jheitz@cantussings.org,,1201 Marquette Ave,Ste 100,Minneapolis,MN,55403,"Joseph Heitz, Executive Director","Cantus engages audiences in a meaningful music experience and ensures the future of ensemble singing by mentoring young singers and educators. Cantus was founded on the ideals of collaborative music making. Artists and staff work together to reach new levels of artistic excellence, innovation, and audience engagement. Our vision is to give voice to shared human experiences.",73362,2019,Cantus,Cantus
Central Lakes Community Performing Arts Center,Theater,,College/University,Cultural Series Organization,http://www.clcmn.edu/arts/,(218) 855-8100 ,patrick.spradlin@clcmn.edu,pspradlin@clcmn.edu,501 College Dr W,,Brainerd,MN,56401,"Patrick Spradlin, Theatre Dir/Cultural Arts Prod","TO CREATE an environment where local performing artists can develop their craft; TO SHARE with our community diverse, high quality arts programming; and TO GROW a community of practitioners and lovers of the performing arts.",71784,2019,Central Lakes College-Brainerd,Central Lakes College-Brainerd
Chicago Avenue Fire Arts Center,Visual arts,"Crafts, metal",Arts Center,Gallery/Exhibition Space,http://www.cafac.org/,(612) 294-0400 ,victoria.lauing@cafac.org,,3749 Chicago Ave,,Minneapolis,MN,55407,"Victoria Lauing, Executive Director","The Chicago Avenue Fire Arts Center inspires hands, hearts, and minds through art forms produced by heat, spark, or flame.",73408,2019,Chicago Avenue Fire Arts Center,Chicago Avenue Fire Arts Center
CAAM Chinese Dance Theater,Dance,"Dance, ethnic/jazz/folk-ins",School of the Arts,Performing Group - Community,http://www.caamcdt.org/,(651) 774-0806 ,beatricerothweiler@gmail.com,admin@caamcdt.org,800 Transfer Rd,Ste 8,St Paul,MN,55114,"Beatrice Rothweiler, Board of Directors Co-chair","The CAAM Chinese Dance Theater is dedicated to preserving and celebrating Chinese cultural heritage, enriching a diverse culture through the universal language of dance.",73536,2019,Chinese American Association of Minnesota,Chinese American Association of Minnesota
Choral Arts Ensemble of Rochester,"Music, choral",,Performing Group,,http://www.choralartsensemble.org/,(507) 252-8427 ,bgiere@choralartsensemble.org,music@choralartsensemble.org,1001 14th St NW,Ste 900,Rochester,MN,55901,"Robert Giere, Executive Director","The mission of Choral Arts Ensemble is to inspire, educate, and enrich the community at large through outstanding choral performances.",72770,2019,Choral Arts Ensemble of Rochester,Choral Arts Ensemble of Rochester
Circus Juventas,Interdisciplinary,Theater,School of the Arts,Performing Group for Youth,https://circusjuventas.org/,(651) 699-8229 ,nicole@circusjuventas.org,,1270 Montreal Ave,,St Paul,MN,55116-2400,"Nicole Malone, Director of Development",Circus Juventas is a nonprofit performing arts circus school for youth dedicated to inspiring artistry and self-confidence through a multicultural circus arts experience.,73392,2019,Circus of the Star,Circus of the Star
Riverside Concerts,Music,,Cultural Series Organization,,http://www.riversideconcerts.com/,(507) 328-2201 ,chris@riversideconcerts.com,,201 4th St SE,Ste 070,Rochester,MN,55904-3778,"Christopher Alcott, Assistant General Manager","Rochester Music Department (RMD) is a city department that provides the community with opportunities for high quality, diverse, and accessible musical and educational programs. RMD offers a broad range of concerts, performance opportunities for area musicians, and artistic support services that help make Rochester a more livable community and contribute to the quality of life of its citizens. RMD also seeks to expose audiences to the creative process in its many forms -- what and how others create, and to engage the citizens in creative acts.",73049,2019,Rochester Music Department,City of Rochester Music Department
CLIMB Theatre,Theater for young audiences,"Opera, musical theater",Performing Group for Youth,Performing Group,http://www.climb.org/,(651) 453-9275x 40,afton@climb.org,,6415 Carmen Ave E,,Inver Grove Heights,MN,55076,"Afton Benson, Managing Director","CLIMB Theatre's mission is to create and perform plays, classes, and other works that inspire and propel people-especially young people - towards actions benefitting themselves, each other and the community.",72921,2019,"CLIMB Theatre, Inc.","CLIMB Theatre, Inc."
Coffee House Press,Literature,Interdisciplinary,Independent Press,,https://coffeehousepress.org/,(612) 338-0125 ,fish@coffeehousepress.org,,79 13th Ave NE,Ste 110,Minneapolis,MN,55413,"Christopher Fischbach, Publisher","Coffee House Press creates new spaces for audiences and artists to interact, inspiring readers and enriching communities by expanding the definition of what literature is, what it can do, and who it belongs to.",73150,2019,Coffee House Press,Coffee House Press
College of Saint Benedict Fine Arts Programming,Multidisciplinary,,Arts Center,College/University,https://www.csbsju.edu/fine-arts/,(320) 363-5011 ,lhanlon@csbsju.edu,,37 College Ave S,,St Joseph,MN,56374,"Leslie Hanlon, Director of Fundraising/Mrktng","The mission of Fine Arts Programming at the College of Saint Benedict (CSB) is to provide a wealth of creative activities and art that make life in central Minnesota an even richer experience. Through the performing and visual arts series, CSB provides community wide opportunities for interaction with leading, national artists through residencies and outreach, exhibitions, pre/post discussions and performances. FAP is a joint department between the College of Saint Benedict and Saint John's University.",71740,2019,College of Saint Benedict,College of Saint Benedict
Commonweal Theatre Company,"Theater, general",Theater,Performing Group,Performance Facility,https://www.commonwealtheatre.org/,(507) 467-2905x 203,hal@commonwealtheatre.org,info@commonwealtheatre.org,PO Box 15,,Lanesboro,MN,55949,"Hal Cropp, Executive Director",The Commonweal Theatre Company's mission is to enrich the common good through actor-based storytelling which is both transcendent and relevant.,73540,2019,Commonweal Theatre Company,Commonweal Theatre Company
COMPAS,Multidisciplinary,Interdisciplinary,Arts Service Organization,,http://www.compas.org/,(651) 292-3203 ,joan@compas.org,,475 Cleveland Ave N,Ste 222,St Paul,MN,55104,"Joan Linck, Dir, Strategic Development",COMPAS uses the arts to unleash the creativity within all of us so we can create better lives and better communities.,73098,2019,"COMPAS, Inc.","COMPAS, Inc."
Historic Holmes Theatre,Multidisciplinary,Crafts,Arts Center,Performance Facility,http://www.dlccc.org/,(218) 844-7469x 104,amy@dlccc.org,boxoffice@dlccc.org,806 Summit Ave,,Detroit Lakes,MN,56501-2940,"Amy Stoller Stearns, Executive Director","The mission of the Historic Holmes Theatre is to foster the development of a vibrant arts community that inspires all ages to learn, grow, and play in the performing and visual arts.",73067,2019,"DLCCC, Inc.","DLCCC, Inc."
Duluth Art Institute,Visual arts,Crafts,Arts Center,Gallery/Exhibition Space,https://www.duluthartinstitute.org/,(218) 733-7560 ,cwoods@duluthartinstitute.org,,506 Michigan St W,,Duluth,MN,55802-1517,"Christina Woods, Executive Director","The mission of the Duluth Art Institute is to enrich daily life with dynamic, innovative visual arts programming that upholds excellence and promotes inclusive community participation.",73128,2019,Duluth Art Institute Association,Duluth Art Institute Association
Minnesota Ballet,"Dance, ballet",Dance,Performing Group,,https://www.minnesotaballet.org/,(218) 529-3742x 17,managingdirector@minnesotaballet.org,,301 1st St W,Ste 800,Duluth,MN,55802,"Kelli Latuska, Managing Director","The mission of the Minnesota Ballet, through its professional company and school, is to inspire a love and appreciation for dance, to advance the art of ballet, to increase access to the art form, and to use its resources to benefit the greater community.",71910,2019,Duluth Ballet,Duluth Ballet
Duluth Playhouse,"Theater, general",Theater for young audiences,Performing Group - Community,Performing Group for Youth,http://www.duluthplayhouse.org/,(218) 733-7551 ,seitz@duluthplayhouse.org,,506 W Michigan St,,Duluth,MN,55802-1517,"Christine Gradl Seitz, Artistic/Executive Director","The mission of the Duluth Playhouse is to offer opportunities in theater arts that may educate, entertain, and involve the region served.",73288,2019,Duluth Playhouse,Duluth Playhouse
Duluth Superior Symphony Orchestra,"Music, orchestral",,Performing Group,,https://www.dsso.com/,(218) 623-3777 ,kpeterson@dsso.com,,130 Superior St W,Ste LL2-120,Duluth,MN,55802,"Kevin Peterson, Interim Executive Director",The Duluth Superior Symphony Association's mission is to deeply move and engage as many people as possible with the power of symphonic music.,73173,2019,Duluth Superior Symphony Association,Duluth Superior Symphony Association
East Side Arts Council,Multidisciplinary,,Arts Council/Agency,,https://www.eastsideartscouncil.org/,(651) 774-5422 ,sarahfehr@eastsideartscouncil.org,,977 Payne Ave,,St Paul,MN,55130-3901,"Sarah Fehr, Executive Director",The mission of the East Side Arts Council is to collaborate with our community and artists to celebrate and experience the arts. ,73077,2019,East Side Arts Council,East Side Arts Council
Paradise Center for the Arts,Multidisciplinary,,Arts Center,,http://www.paradisecenterforthearts.org/,(507) 332-7372 ,director@paradisecenterforthearts.org,,321 Central Ave N,,Faribault,MN,55021,"Kristen Twitchell, Executive Director","The mission of the Paradise Center for the Arts is to create a vivid, energetic cultural center for the community and region. We will enhance the quality of life for artists, art lovers, and our community by showcasing local, regional, and national artists.",71846,2019,Faribault Art Center Inc.,Faribault Art Center Inc.
A Center for the Arts,Multidisciplinary,,Arts Center,Performance Facility,http://www.fergusarts.org/,(218) 736-5453 ,michael.burgraff@fergusarts.org,ac4ta@fergusarts.org,124 Lincoln Ave W,,Fergus Falls,MN,56537,"Michael Burgraff, Executive Director","The mission of A Center for the Arts in Fergus Falls is to connect artists and audiences by providing the best possible arts experiences that inspire creativity, curiosity, imagination, and learning.",73340,2019,"Fergus Falls Center for the Arts, Inc.","Fergus Falls Center for the Arts, Inc."
FilmNorth,Media Arts,Photography,Arts Service Organization,,http://myfilmnorth.org/,(651) 644-1912x 110,apeterson@myfilmnorth.org,,550 Vandalia St,Ste 120,St Paul,MN,55114,"Andrew Peterson, Executive Director","The mission of IFP Minnesota, dba FilmNorth, is to support and empower artists to tell their stories, launch and sustain successful careers, and advance The North as a leader in the national network of independent filmmakers. We achieve our mission by nurturing a vibrant, diverse community of film and media artists; providing education and resources at every stage of their career; and celebrating their achievements.",73361,2019,FilmNorth,FilmNorth
FOCI Minnesota Center for Glass Arts,"Crafts, glass","Visual arts, sculpture",Arts Center,Gallery/Exhibition Space,https://www.mnglassart.org/,(612) 623-3624 ,kelly.nezworski@mnglassart.org,contact@mnglassart.org,2010 Hennepin Ave E,Box 54,Minneapolis,MN,55413,"Kelly Nezworski, Director of Operations",The mission of Foci Minnesota Center for Glass Arts is to engage the Minnesota community in the study and appreciation of glass arts while expanding the potential of the medium.,73387,2019,FOCI Minnesota Center for Glass Arts,FOCI Minnesota Center for Glass Arts
Forecast Public Art,Multidisciplinary,Interdisciplinary,Arts Service Organization,Community Service Organization,https://www.forecastpublicart.org/,(651) 641-1128 ,theresa@forecastpublicart.org,,2300 Myrtle Ave,Ste 160,St Paul,MN,55114-1854,"Theresa Sweetland, Executive Director","Forecast Public Art activates people, networks, and proven practices to advance the transformational power of arts in public life.",73328,2019,Forecast Public Artworks,Forecast Public Artworks
Saint Francis Music Center,Music,Multidisciplinary,School of the Arts,,http://sfmusiccenter.org/,(320) 632-0637 ,rgray@fslf.org,,116 8th Ave SE,,Little Falls,MN,56345-3539,"Robyn Gray, Grants Specialist","The mission of Saint Francis Music Center is to provide high quality arts education to the rural population of central Minnesota. The Music Center promotes artistic growth among all people in our communities and encourages lifelong involvement in the arts, providing a place where students at all levels of ability can come together to learn about and experience the arts.",71491,2019,Franciscan Sisters of Little Falls,Franciscan Sisters of Little Falls
Franconia Sculpture Park,"Visual arts, sculpture",,Arts Center,,http://www.franconia.org/,(651) 257-6668 ,reidzimmerman@franconia.org,,29836 St Croix Trl,,Shafer,MN,55074,"Reid Zimmerman, Executive Director",The mission of Franconia Sculpture Park is to provide physically and intellectually wide-open spaces where all are inspired to participate in the creative process.,73317,2019,Franconia Sculpture Park,Franconia Sculpture Park
Minnesota Sinfonia,"Music, orchestral","Music, chamber",Performing Group,,https://www.mnsinfonia.org/,(612) 871-1701 ,joan@mnsinfonia.org,,901 N 3rd St,Ste 112,Minneapolis,MN,55401-1022,"Joan Elwell, Managing Director","The mission of the Minnesota Sinfonia is to serve the musical and educational needs of the citizens of Minnesota, with particular attention given to inner city youth, families with young children, seniors, and people with limited financial means.",73074,2019,Friends of the Minnesota Sinfonia,Friends of the Minnesota Sinfonia
Grand Marais Art Colony,Visual arts,Crafts,Arts Center,,https://www.grandmaraisartcolony.org//,(218) 387-2737 ,director@grandmaraisartcolony.org,arts@boreal.org,120 3rd Ave W,PO Box 626,Grand Marais,MN,55604-0626,"Lyla Brown, Executive Director","The Grand Marais Art Colony's mission is to nurture creativity on the North Shore of Lake Superior by providing services to artists, promoting art education, and nurturing art in our community through an environment for creative excellence.",73172,2019,"Grand Marais Arts, Inc.","Grand Marais Arts, Inc."
Graywolf Press,Literature,,Independent Press,,https://www.graywolfpress.org/,(651) 641-0077 ,johnson@graywolfpress.org,,250 3rd Ave N,Ste 600,Minneapolis,MN,55401,"Leslie Johnson, Managing Director","Graywolf Press is a leading independent publisher committed to the discovery and energetic publication of twenty-first century American and international literature. We champion outstanding writers at all stages of their careers to ensure that adventurous readers can find underrepresented and diverse voices in a crowded marketplace. We believe works of literature nourish the reader's spirit and enrich the broader culture, and that they must be supported by attentive editing, compelling design, and creative promotion.",73290,2019,Graywolf Press,Graywolf Press
Great Northern Union Chorus,"Music, choral",,Performing Group,,https://www.gnusings.com/,(612) 723-4209 ,missioninclynch@gmail.com,,c/o UMCP,6345 Xerxes Ave S,Richfield,MN,55423,"Kevin Lynch, Development Director","Our mission is to change lives of audiences and singers alike by creating Thrilling Harmony:  Nearly flawless unaccompanied vocal music, performed with deep passion and great energy.  We seek a world where all men are singing and everyone is listening.",73310,2019,Great Northern Union Chorus,Great Northern Union Chorus
GREAT Theatre,Theater for young audiences,"Theater, general",Performing Group for Youth,Performing Group - Community,https://www.GreatTheatre.org/,(320) 258-2787 ,Dennis@GreatTheatre.org,,710 Sundial Dr,,Waite Park,MN,56387,"Dennis Whipple, Executive Artistic Director",Great River Educational Arts Theatre (GREAT) brings the community together through shared theater experiences.,73088,2019,Great River Educational Arts Theatre,Great River Educational Arts Theatre
Great River Shakespeare Festival,Theater,Music,Fair/Festival,Performing Group,http://www.grsf.org/,(507) 474-7900 ,aarony@grsf.org,aaronayoung@me.com,79 3rd St E,,Winona,MN,55987,"Aaron Young, Managing Director","The mission of the Great River Shakespeare Festival is to create dynamic, clearly spoken productions of Shakespeare's plays, which enrich people's lives.",73530,2019,Great River Shakespeare Festival,Great River Shakespeare Festival
Greater Twin Cities Youth Symphonies,"Music, orchestral","Music, chamber",Performing Group for Youth,,https://www.gtcys.org/,(651) 602-6800 ,megen@gtcys.org,,408 St Peter St,Ste 300,St Paul,MN,55102,"Megen Balda, Executive Director","In the conviction that music nourishes the body, mind, and spirit of the individual and enriches the community, the Greater Twin Cities Youth Symphonies provides a rigorous and inspiring orchestral experience for young musicians.",73136,2019,Greater Twin Cities Youth Symphonies,Greater Twin Cities Youth Symphonies
Guthrie Theater,Theater,"Theater, general",Performing Group,,https://www.guthrietheater.org/,(612) 225-6000 ,ninag@guthrietheater.org,,818 2nd St S,,Minneapolis,MN,55415-1252,"Nina Graham, Director of Inst Giving","The Guthrie Theater engages exceptional theater artists in the exploration of both classic and contemporary plays connecting the community it serves to one another and to the world. Through its extraordinary artists, staff, and facility, the Guthrie is committed to the people of Minnesota, and from its place, rooted deeply in the Twin Cities, influences the field as a leading 21st century arts organization. ",73084,2019,Guthrie Theatre Foundation,Guthrie Theatre Foundation
Hennepin Theatre Trust,"Theater, general",Theater,Arts Center,,https://www.hennepintheatretrust.org/,(612) 455-9500 ,karen.quiroz@hennepintheatretrust.org,,900 Hennepin Ave,,Minneapolis,MN,55403,"Karen Quiroz, Institutional Giving Manager","Hennepin Theatre Trust creates positive change through the arts by bringing together people, businesses, and organizations to create and enjoy cultural experiences.",71351,2019,Hennepin Theatre Trust,Hennepin Theatre Trust
Highpoint Center for Printmaking,Visual arts,,Arts Center,Gallery/Exhibition Space,https://www.highpointprintmaking.org/,(612) 871-1326 ,carla@highpointprintmaking.org,,912 Lake St W,,Minneapolis,MN,55408,"Carla McGrath, Executive Director","Highpoint Center for Printmaking is dedicated to advancing the art of printmaking. Its goals are to provide educational programs, community access, and collaborative publishing opportunities to engage the public and increase the appreciation and understanding of the printmaking arts.",73125,2019,Highpoint Center for Printmaking,Highpoint Center for Printmaking
Honors Choirs of Southeast Minnesota,"Music, choral",,Performing Group for Youth,,https://www.honorschoirs.org/,(507) 252-0505 ,jayne@honorschoirs.org,,1001 14th St NW,Ste 920,Rochester,MN,55901-2534,"Jayne Rothschild, Executive Director","The mission of the Honors Choirs of Southeast Minnesota is to promote the highest standard of excellence in the preparation and performance of choral music, seeking to provide artistic challenge and growth opportunities for youth throughout the region and enjoyment for the community at large.",73337,2019,Honors Choirs of Southeast Minnesota,Honors Choirs of Southeast Minnesota
Hopkins Center for the Arts,Multidisciplinary,Visual arts,Arts Center,,https://www.hopkinsartscenter.com/,(952) 979-1100 ,awulff@hopkinsmn.com,,1111 Mainstreet,,Hopkins,MN,55343,"Aaron Wulff, Director of Development",The mission of the Hopkins Center for the Arts is to build community through the arts by fostering creative expression and providing artistic and educational opportunities for people of all ages.,73289,2019,Hopkins Center for the Arts,Hopkins Center for the Arts
Huge Improv Theater,Theater,Opera/Musical Theater,Performance Facility,Performing Group,http://www.hugetheater.com/,(612) 412-4843 ,sean@hugetheater.com,,3037 Lyndale Ave S,,Minneapolis,MN,55408,"Sean Dillon, Managing Director",HUGE Improv Theater is an artist led nonprofit dedicated to supporting the Twin Cities improv community through performance and education.,71261,2019,Huge Improv Theater,Huge Improv Theater
Illusion Theater,Theater,,Performing Group,,https://www.illusiontheater.org/,(612) 339-4944x 208,mrobins@illusiontheater.org,,528 Hennepin Ave,Ste 704,Minneapolis,MN,55403-1814,"Michael Robins, Executive Producing Director",Illusion Theater's mission is to create theater that touches people of all ages deeply and personally and that energizes the community around important and complex social issues; and to catalyze personal and social change.,73022,2019,"Illusion Theater and School, Inc.","Illusion Theater and School, Inc."
In the Heart of the Beast Puppet and Mask Theatre,"Theater, puppetry",Multidisciplinary,Performing Group,Performance Facility,https://www.hobt.org/,(612) 721-2535 ,dsebastian@hobt.org,,1500 Lake St E,,Minneapolis,MN,55407,"Dillon Sebastian, Development/Cultural Outreach","Societal gaps in education, income, employment, and justice separate us from one another and from the world we live in. The ritual and ceremony of puppetry and mask performance uniquely allow us to develop a shared vision for the future. The mission of In the Heart of the Beast Puppet and Mask Theatre is to bring people together for the common good through the power of Puppetry and Mask Performance. Through our work, we ask ourselves: What does it mean to be human in this time and place?",73021,2019,In the Heart of the Beast Puppet and Mask Theatre,In the Heart of the Beast Puppet and Mask Theatre
Interact,Theater,"Theater, general",Arts Center,Performing Group,https://www.interactcenter.com/,(651) 209-3575 ,sandydotmoore@gmail.com,jeanne@interactcenter.com,1860 Minnehaha Ave W,,St Paul,MN,55104,"Jeanne Calvit, Artistic/Executive Director",Interact operates with a mission to create art that challenges perceptions of disability.,73393,2019,Interact Center for the Visual and Performing Arts,Interact Center for the Visual and Performing Arts
Itasca Orchestra and Strings Program,"Music, orchestral","Music, solo/recital",School of the Arts,Performing Group - Community,https://www.itascaorchestra.org/,(218) 327-5781 ,tammy@itascaorchestra.org,,PO Box 140,,Grand Rapids,MN,55744,"Tammy Mattonen, Executive Director","The Itasca Orchestra and Strings Program provides opportunities to hear, learn, and perform orchestra music for the youth and adults of Itasca County.",72732,2019,Itasca Orchestra and Strings Program,Itasca Orchestra and Strings Program
Jawaahir Dance Company,"Dance, ethnic/jazz/folk-ins","Music, ethnic/folk-inspired",Performing Group,,http://www.jawaahir.org/,(612) 872-6050 ,cassandra@jawaahir.org,,3010 Minnehaha Ave S,,Minneapolis,MN,55406,"Cassandra Shore, Artistic Director","Jawaahir Dance Company is dedicated to presenting Middle Eastern dance as a vibrant living art form at its highest artistic level, to bringing the rich folkloric heritage of the Middle East to the theater stage, and to providing education about the dance and music in its authentic form for dance students and the general public.",73545,2019,Jawaahir Dance Company,Jawaahir Dance Company
Jungle Theater,Theater,,Performing Group,,https://www.jungletheater.com/,(612) 278-0141 ,shannon@jungletheater.com,,2951 Lyndale Ave S,,Minneapolis,MN,55408-2111,"Shannon Robinson, Managing Director","The Jungle Theater's mission is to create powerful and poetic theater in the intimate Jungle home, which is deeply rooted in its Minneapolis neighborhood.",73148,2019,Jungle Theater,Jungle Theater
Juxtaposition Arts,Visual arts,Design arts,Arts Center,,http://www.juxtaposition.org/,(612) 588-1148x 222,deanna@juxtaposition.org,deanna.cummings1970@gmail.com,2007 Emerson Ave N,,Minneapolis,MN,55411-2507,"DeAnna Cummings, Executive Director",Juxtaposition Arts' mission is to develop community by engaging and employing young urban artists in hands-on education initiatives that create pathways to self-sufficiency while actualizing power.,73395,2019,Juxtaposition Inc.,Juxtaposition Inc.
Kaddatz Gallery,Visual arts,,Gallery/Exhibition Space,Museum - Art,https://www.kaddatzgalleries.org/,(218) 998-4405 ,klara@kaddatzgalleries.org,info@kaddatzgalleries.org,111 Lincoln Ave W,,Fergus Falls,MN,56537,"Klara Beck, Executive Director","The mission of the Kaddatz Galleries is to foster visual arts education and appreciation, and to maintain a gallery that celebrates the work of area artists and honors the legacy of Charles Beck. ",73541,2019,Kaddatz Galleries,Kaddatz Galleries
KAIROS ALIVE!,"Dance, modern",Folk/Traditional dance,Performing Group,,https://www.kairosalive.org/,(612) 926-5454 ,maria@kairosalive.org,,4316 Upton Ave S,Ste 206,Minneapolis,MN,55410,"Maria Genné, Director","The mission of Kairos Alive! (KA) is to promote intergenerational, interactive dance, music, and story, liberating their power to nurture and heal. We use participatory dance/music/story/theater to make connections, stir the imagination, and energize intergenerational communities.",73321,2019,KAIROS ALIVE!,KAIROS ALIVE!
